title,question,answer,type,text,som_bmu,cluster_label
Heinz Erhardt,What was Harald Schmidt's occupation at the Roman Catholic church?,Choirmaster and organ player,domain,What was Harald Schmidt's occupation at the Roman Catholic church? Choirmaster and organ player,"(0, 5)",3
Alfred Vogel,"What was the name of the play that premiered in Berlin in 1925, directed by Erwin Piscator?","Hoppla, We're Alive! (Hoppla, wir Leben!)",domain,"What was the name of the play that premiered in Berlin in 1925, directed by Erwin Piscator? Hoppla, We're Alive! (Hoppla, wir Leben!)","(4, 4)",1
Adrienne Monnier,What was the name of the magazine that Jane Heap co-edited with Margaret Anderson?,The Little Review,domain,What was the name of the magazine that Jane Heap co-edited with Margaret Anderson? The Little Review,"(1, 4)",3
Heinz Erhardt,What did becoming a Kapellmeister signify for a professional musician?,A mark of success and considerable musical skill,entity,What did becoming a Kapellmeister signify for a professional musician? A mark of success and considerable musical skill,"(3, 5)",1
Adrienne Monnier,What was Anna de Noailles' profession?,"Writer, poet and socialist feminist",domain,"What was Anna de Noailles' profession? Writer, poet and socialist feminist","(1, 4)",3
Jorge Semprún,What was the title of Rafael Alberti's memoirs?,La Arboleda perdida (The Lost Grove),domain,What was the title of Rafael Alberti's memoirs? La Arboleda perdida (The Lost Grove),"(2, 2)",4
Heinz Erhardt,What award did Loriot receive in 1988?,"The Bavarian Film Award, Special Prize",domain,"What award did Loriot receive in 1988? The Bavarian Film Award, Special Prize","(2, 5)",3
Heinz Erhardt,What treaty did the Kriegsmarine violate by expanding in the 1930s?,The Treaty of Versailles,entity,What treaty did the Kriegsmarine violate by expanding in the 1930s? The Treaty of Versailles,"(3, 2)",1
Theopompus,What was Ulrich von Wilamowitz-Moellendorff's full name?,Enno Friedrich Wichard Ulrich von Wilamowitz-Moellendorff,entity,What was Ulrich von Wilamowitz-Moellendorff's full name? Enno Friedrich Wichard Ulrich von Wilamowitz-Moellendorff,"(5, 0)",1
Ted Kooser,What was the title of Philip Levine's first book of poetry?,On the Edge,domain,What was the title of Philip Levine's first book of poetry? On the Edge,"(1, 4)",3
Siegfried Lenz,When was Heinrich Böll's first novel published?,1949,domain,When was Heinrich Böll's first novel published? 1949,"(1, 4)",3
Siegfried Lenz,What was Günter Grass's stance on the reunification of Germany?,"He argued for the continued separation of the two German states, fearing a unified Germany would resume its role as a belligerent nation-state",domain,"What was Günter Grass's stance on the reunification of Germany? He argued for the continued separation of the two German states, fearing a unified Germany would resume its role as a belligerent nation-state","(4, 4)",1
Wilhelm Wattenbach,What was Leopold von Ranke's view on the French Revolution?,He claimed that the ideas of the French Revolution were meant for France only and urged his readers to stay loyal to the Prussian state,domain,What was Leopold von Ranke's view on the French Revolution? He claimed that the ideas of the French Revolution were meant for France only and urged his readers to stay loyal to the Prussian state,"(2, 3)",0
Alfred Vogel,What term is used to collectively refer to Appenzell Innerrhoden and Appenzell Ausserrhoden in political contexts?,beide Appenzell,entity,What term is used to collectively refer to Appenzell Innerrhoden and Appenzell Ausserrhoden in political contexts? beide Appenzell,"(3, 2)",1
Heinz Erhardt,How long is the Kurfürstendamm?,3.5 km (2.2 mi),entity,How long is the Kurfürstendamm? 3.5 km (2.2 mi),"(3, 2)",1
Heinz Erhardt,What was the title of the humorous gala concert that Loriot conducted in 1982?,The 100th anniversary of the Berlin Philharmonic Orchestra,domain,What was the title of the humorous gala concert that Loriot conducted in 1982? The 100th anniversary of the Berlin Philharmonic Orchestra,"(0, 5)",3
Rudolf Christoph Eucken,What was the title of Karl Jaspers' three-volume work that gave his view of the history of philosophy?,Philosophy,domain,What was the title of Karl Jaspers' three-volume work that gave his view of the history of philosophy? Philosophy,"(0, 2)",1
Siegfried Lenz,After how many months of service can an officer candidate be promoted to Fähnrich zur See in the Deutsche Marine?,21 months,entity,After how many months of service can an officer candidate be promoted to Fähnrich zur See in the Deutsche Marine? 21 months,"(3, 2)",1
Heinz Erhardt,When was the Order of Merit of the Federal Republic of Germany established?,It was established on 7 September 1951.,entity,When was the Order of Merit of the Federal Republic of Germany established? It was established on 7 September 1951.,"(3, 2)",1
Moshe Greenberg,What was Joseph B. Soloveitchik's occupation?,"American Orthodox rabbi, Talmudist, and modern Jewish philosopher",domain,"What was Joseph B. Soloveitchik's occupation? American Orthodox rabbi, Talmudist, and modern Jewish philosopher","(3, 5)",1
Heinz Erhardt,"How many television, comedy, and theatrical awards has Harald Schmidt won?",More than 30,domain,"How many television, comedy, and theatrical awards has Harald Schmidt won? More than 30","(0, 5)",3
Wilhelm Wattenbach,What was the title of Leopold von Ranke's book on the papacy in the 16th century?,"Die römischen Päpste, ihre Kirche und ihr Staat im sechzehnten und siebzehnten Jahrhundert",domain,"What was the title of Leopold von Ranke's book on the papacy in the 16th century? Die römischen Päpste, ihre Kirche und ihr Staat im sechzehnten und siebzehnten Jahrhundert","(2, 3)",0
Ted Kooser,What was the occupation of Philip Levine's father?,Used auto parts business owner,domain,What was the occupation of Philip Levine's father? Used auto parts business owner,"(3, 5)",1
Siegfried Lenz,When was Günter Grass born?,16 October 1927,domain,When was Günter Grass born? 16 October 1927,"(5, 2)",0
Heinz Erhardt,Where was Heinz Rühmann buried?,"Berg-Aufkirchen, Bavaria",domain,"Where was Heinz Rühmann buried? Berg-Aufkirchen, Bavaria","(4, 4)",1
Wilhelm Wattenbach,What was the outcome of Georg Waitz's move to Berlin in 1875?,He succeeded Pertz as principal editor of the Monumenta Germaniae historica,domain,What was the outcome of Georg Waitz's move to Berlin in 1875? He succeeded Pertz as principal editor of the Monumenta Germaniae historica,"(4, 4)",1
Moshe Greenberg,What was Martin Buber's attitude towards Zionism?,He believed in a binational solution in Palestine and a regional federation of Israel and Arab states,domain,What was Martin Buber's attitude towards Zionism? He believed in a binational solution in Palestine and a regional federation of Israel and Arab states,"(0, 0)",2
Rudolf Christoph Eucken,Which universities did Friedrich Adolf Trendelenburg attend?,"Kiel, Leipzig, Berlin",entity,"Which universities did Friedrich Adolf Trendelenburg attend? Kiel, Leipzig, Berlin","(5, 0)",1
Heinz Erhardt,What was the name of Otto Waalkes' first wife?,Manuela 'Manu' (born Ebelt),domain,What was the name of Otto Waalkes' first wife? Manuela 'Manu' (born Ebelt),"(1, 2)",2
Alfred Vogel,When was NRC Handelsblad first published?,1 October 1970,entity,When was NRC Handelsblad first published? 1 October 1970,"(1, 4)",3
Heinz Erhardt,What is the Order of Merit of the Federal Republic of Germany?,"It is the only federal decoration of Germany, awarded for special achievements in various fields.",entity,"What is the Order of Merit of the Federal Republic of Germany? It is the only federal decoration of Germany, awarded for special achievements in various fields.","(3, 2)",1
Rudolf Christoph Eucken,What degrees did Hermann Lotze obtain and in what fields?,He obtained a degree in medicine and a degree in philosophy.,entity,What degrees did Hermann Lotze obtain and in what fields? He obtained a degree in medicine and a degree in philosophy.,"(5, 0)",1
Adrienne Monnier,Who was the foreign editor of The Little Review in London?,Ezra Pound,domain,Who was the foreign editor of The Little Review in London? Ezra Pound,"(1, 4)",3
Siegfried Lenz,What was the name of the party that Martin Walser became a member of in 1944?,Nazi Party,domain,What was the name of the party that Martin Walser became a member of in 1944? Nazi Party,"(0, 0)",2
Moshe Greenberg,When did Martin Buber die?,"June 13, 1965",domain,"When did Martin Buber die? June 13, 1965","(0, 0)",2
Amy Clampitt,What was the title of Sharon Olds' first collection of poetry?,Satan Says,domain,What was the title of Sharon Olds' first collection of poetry? Satan Says,"(1, 4)",3
Siegfried Lenz,What was Günter Grass's training before becoming a writer?,He was trained as a stonemason and sculptor,domain,What was Günter Grass's training before becoming a writer? He was trained as a stonemason and sculptor,"(5, 2)",0
Rudolf Christoph Eucken,"What was the concept that Karl Jaspers introduced in his study of patients, which has become a mainstay of psychiatric and psychotherapeutic practice?",The biographical method,domain,"What was the concept that Karl Jaspers introduced in his study of patients, which has become a mainstay of psychiatric and psychotherapeutic practice? The biographical method","(0, 2)",1
Wilhelm Wattenbach,What was the name of the historical school that grew in reputation during Georg Waitz's time at Göttingen?,The Göttingen historical school,domain,What was the name of the historical school that grew in reputation during Georg Waitz's time at Göttingen? The Göttingen historical school,"(5, 0)",1
Wilhelm Wattenbach,"What was the profession of Ernst Ludwig Dümmler's son, Georg Ferdinand Dümmler?",Archaeologist and philologist,domain,"What was the profession of Ernst Ludwig Dümmler's son, Georg Ferdinand Dümmler? Archaeologist and philologist","(5, 0)",1
Adrienne Monnier,What was the name of the university where T.S. Eliot was a visiting scholar when he wrote 'The Cocktail Party'?,Institute for Advanced Study,domain,What was the name of the university where T.S. Eliot was a visiting scholar when he wrote 'The Cocktail Party'? Institute for Advanced Study,"(4, 3)",0
Adrienne Monnier,What was the title of T.S. Eliot's essay that introduced the concept of 'unified sensibility'?,The Metaphysical Poets,domain,What was the title of T.S. Eliot's essay that introduced the concept of 'unified sensibility'? The Metaphysical Poets,"(4, 3)",0
Moshe Greenberg,Where was Joseph B. Soloveitchik born?,"Pruzhany, Imperial Russia (later Poland, now Belarus)",domain,"Where was Joseph B. Soloveitchik born? Pruzhany, Imperial Russia (later Poland, now Belarus)","(3, 0)",2
Wilhelm Wattenbach,What method of teaching did Leopold von Ranke use in his classroom?,The seminar system,domain,What method of teaching did Leopold von Ranke use in his classroom? The seminar system,"(2, 3)",0
Adrienne Monnier,What was the title of T.S. Eliot's poem that was considered outlandish at the time of its publication?,The Love Song of J. Alfred Prufrock,domain,What was the title of T.S. Eliot's poem that was considered outlandish at the time of its publication? The Love Song of J. Alfred Prufrock,"(4, 3)",0
Moshe Greenberg,What was the title of Abraham Joshua Heschel's volume of Yiddish poems published in 1933?,Der Shem Hamefoyrosh: Mentsch,domain,What was the title of Abraham Joshua Heschel's volume of Yiddish poems published in 1933? Der Shem Hamefoyrosh: Mentsch,"(3, 5)",1
Paul Gerhardt,When was Philipp Nicolai born?,10 August 1556,domain,When was Philipp Nicolai born? 10 August 1556,"(2, 2)",4
Wilhelm Wattenbach,What was the title of Ernst Ludwig Dümmler's great work?,Geschichte des ostfränkischen Reiches,domain,What was the title of Ernst Ludwig Dümmler's great work? Geschichte des ostfränkischen Reiches,"(5, 0)",1
Wilhelm Wattenbach,What is the Monumenta Germaniae Historica?,"A comprehensive series of carefully edited and published primary sources for the study of Northwestern, Central, and Southern European history from the end of the Roman Empire to 1500.",entity,"What is the Monumenta Germaniae Historica? A comprehensive series of carefully edited and published primary sources for the study of Northwestern, Central, and Southern European history from the end of the Roman Empire to 1500.","(3, 2)",1
Ted Kooser,Where was Kay Ryan born?,"San Jose, California",domain,"Where was Kay Ryan born? San Jose, California","(1, 1)",2
Jorge Semprún,What was the occupation of Rafael Alberti's father?,Commercial traveller for the company,domain,What was the occupation of Rafael Alberti's father? Commercial traveller for the company,"(2, 2)",4
Amy Clampitt,What was the occupation of Sharon Olds' father?,Alcoholic and abusive to his children,domain,What was the occupation of Sharon Olds' father? Alcoholic and abusive to his children,"(1, 2)",2
Amy Clampitt,How old was Maxine Kumin when she died?,88,domain,How old was Maxine Kumin when she died? 88,"(1, 2)",2
Hartmann von Aue,What was Reinmar's status in the century after his death?,"Paramount, second only to Walther",domain,"What was Reinmar's status in the century after his death? Paramount, second only to Walther","(5, 3)",0
Theopompus,When was Eduard Meyer born?,25 January 1855,entity,When was Eduard Meyer born? 25 January 1855,"(5, 2)",0
Siegfried Lenz,Where did Hans Magnus Enzensberger study literature and philosophy?,"Universities of Erlangen, Freiburg, and Hamburg, and at the Sorbonne in Paris",domain,"Where did Hans Magnus Enzensberger study literature and philosophy? Universities of Erlangen, Freiburg, and Hamburg, and at the Sorbonne in Paris","(4, 1)",1
Theopompus,What was the name of the event that Thucydides wrote about in his book?,The Peloponnesian War,domain,What was the name of the event that Thucydides wrote about in his book? The Peloponnesian War,"(4, 2)",1
Heinrich Ritter,What was the name of Wilhelm von Humboldt's university?,Universities of Frankfurt (Oder) and Göttingen,domain,What was the name of Wilhelm von Humboldt's university? Universities of Frankfurt (Oder) and Göttingen,"(5, 0)",1
Amy Clampitt,What was the name of the university where Sharon Olds earned her BA?,Stanford University,domain,What was the name of the university where Sharon Olds earned her BA? Stanford University,"(0, 3)",3
Siegfried Lenz,What was Günter Grass's family background?,"His father was a Lutheran Protestant of German origin, and his mother was a Roman Catholic of Kashubian-Polish origin",domain,"What was Günter Grass's family background? His father was a Lutheran Protestant of German origin, and his mother was a Roman Catholic of Kashubian-Polish origin","(5, 2)",0
Amy Clampitt,What was the name of the literary magazine that rejected Sharon Olds' poetry?,Not specified,domain,What was the name of the literary magazine that rejected Sharon Olds' poetry? Not specified,"(1, 4)",3
Amy Clampitt,What was Maxine Kumin's parents' background?,Jewish,domain,What was Maxine Kumin's parents' background? Jewish,"(1, 2)",2
Theopompus,What was the name of Xenophon's father?,Xenophon's father was called Gryllus,domain,What was the name of Xenophon's father? Xenophon's father was called Gryllus,"(0, 4)",3
Amy Clampitt,What was the religious environment in which Sharon Olds was raised?,Hellfire Calvinist,domain,What was the religious environment in which Sharon Olds was raised? Hellfire Calvinist,"(0, 1)",2
Amy Clampitt,Who did Maxine Kumin marry in 1946?,Victor Kumin,domain,Who did Maxine Kumin marry in 1946? Victor Kumin,"(1, 2)",2
Ted Kooser,What was the name of the award Rita Dove received in 1987?,Pulitzer Prize for Poetry,domain,What was the name of the award Rita Dove received in 1987? Pulitzer Prize for Poetry,"(2, 5)",3
Theopompus,What was the outcome of the Battle of Cnidus?,The Spartan fleet was destroyed.,entity,What was the outcome of the Battle of Cnidus? The Spartan fleet was destroyed.,"(0, 4)",3
Siegfried Lenz,What was the name of the literary group that Hans Magnus Enzensberger was a part of?,Group 47,domain,What was the name of the literary group that Hans Magnus Enzensberger was a part of? Group 47,"(4, 1)",1
Amy Clampitt,What was the name of the journal where Sharon Olds' poetry was published?,Beloit Poetry Journal,domain,What was the name of the journal where Sharon Olds' poetry was published? Beloit Poetry Journal,"(1, 4)",3
Amy Clampitt,Where did Maxine Kumin live from 1976 until her death?,"Warner, New Hampshire",domain,"Where did Maxine Kumin live from 1976 until her death? Warner, New Hampshire","(1, 2)",2
Siegfried Lenz,What was the main purpose of Group 47's meetings?,"Literary criticism and promotion of young, unknown authors.",entity,"What was the main purpose of Group 47's meetings? Literary criticism and promotion of young, unknown authors.","(4, 5)",1
Theopompus,Which American university did Eduard Meyer lecture at in 1909?,Harvard,entity,Which American university did Eduard Meyer lecture at in 1909? Harvard,"(5, 0)",1
Amy Clampitt,What was Elizabeth Bishop's major in college?,English,domain,What was Elizabeth Bishop's major in college? English,"(0, 3)",3
Alfred Vogel,When did 'Zondag met Lubach' first air and when did it end?,It aired between 2014 and 2021.,entity,When did 'Zondag met Lubach' first air and when did it end? It aired between 2014 and 2021.,"(0, 5)",3
Amy Clampitt,When was Smith College chartered and by whom?,Smith College was chartered in 1871 by Sophia Smith.,entity,When was Smith College chartered and by whom? Smith College was chartered in 1871 by Sophia Smith.,"(3, 5)",1
Amy Clampitt,What accident did Maxine Kumin have in 1998?,Horseback-riding accident that broke her neck,domain,What accident did Maxine Kumin have in 1998? Horseback-riding accident that broke her neck,"(1, 2)",2
Paul Gerhardt,What is the title of the two volumes of poems and hymns collected and edited by Johann Franck?,"Teutsche Gedichte, enthaltend geistliches Zion samt Vaterunserharfe nebst irdischem Helicon oder Lob-, Lieb-, Leidgedichte, etc.",domain,"What is the title of the two volumes of poems and hymns collected and edited by Johann Franck? Teutsche Gedichte, enthaltend geistliches Zion samt Vaterunserharfe nebst irdischem Helicon oder Lob-, Lieb-, Leidgedichte, etc.","(5, 3)",0
Amy Clampitt,When was Sharon Olds born?,"November 19, 1942",domain,"When was Sharon Olds born? November 19, 1942","(1, 1)",2
Hartmann von Aue,What marked the 'golden age' of medieval German literature?,"The period around 1170 to 1230, known for the blossoming of Minnesang, courtly romances, and a new take on the heroic tradition.",entity,"What marked the 'golden age' of medieval German literature? The period around 1170 to 1230, known for the blossoming of Minnesang, courtly romances, and a new take on the heroic tradition.","(5, 3)",0
Paul Gerhardt,What was the name of Telemann's music catalogue?,Telemann-Werke-Verzeichnis (TWV),domain,What was the name of Telemann's music catalogue? Telemann-Werke-Verzeichnis (TWV),"(5, 2)",0
Siegfried Lenz,What was the title of Hans Magnus Enzensberger's thesis for his doctorate?,A thesis about Clemens Brentano's poetry,domain,What was the title of Hans Magnus Enzensberger's thesis for his doctorate? A thesis about Clemens Brentano's poetry,"(4, 1)",1
Heinz Erhardt,What was Loriot's first notable work as a comedian?,His 1976 television series Loriot,domain,What was Loriot's first notable work as a comedian? His 1976 television series Loriot,"(0, 5)",3
Najaf Daryabandari,What subject did Sadegh Hedayat eventually pursue after abandoning architecture in France?,Dentistry,domain,What subject did Sadegh Hedayat eventually pursue after abandoning architecture in France? Dentistry,"(3, 1)",1
Adrienne Monnier,When was E. E. Cummings born?,"October 14, 1894",entity,"When was E. E. Cummings born? October 14, 1894","(3, 0)",2
Heinrich Ritter,What was the title of Schopenhauer's main work?,The World as Will and Representation,domain,What was the title of Schopenhauer's main work? The World as Will and Representation,"(2, 0)",1
Siegfried Lenz,How is a Fähnrich zur See formally addressed in the navy context?,Herr/Frau Fähnrich zur See,entity,How is a Fähnrich zur See formally addressed in the navy context? Herr/Frau Fähnrich zur See,"(3, 2)",1
Elsa Triolet,What was the name of Marguerite Duras' mother?,Marie (née Legrand),domain,What was the name of Marguerite Duras' mother? Marie (née Legrand),"(3, 3)",4
Adrienne Monnier,Who was T.S. Eliot's friend and fellow writer that he met in Paris in 1920?,James Joyce,domain,Who was T.S. Eliot's friend and fellow writer that he met in Paris in 1920? James Joyce,"(4, 3)",0
"Philip Stanhope, 5th Earl Stanhope",How long did Robert Smith serve in the House of Commons?,From 1779 to 1797.,entity,How long did Robert Smith serve in the House of Commons? From 1779 to 1797.,"(4, 0)",2
Benedetto Varchi,What was the name of the horse Lorenzo rode in the jousting tournament in 1469?,Morello di Vento,domain,What was the name of the horse Lorenzo rode in the jousting tournament in 1469? Morello di Vento,"(5, 1)",4
Hartmann von Aue,What influenced the early MHG lyric poetry known as Minnesang?,The French and Provençal tradition of courtly love song.,entity,What influenced the early MHG lyric poetry known as Minnesang? The French and Provençal tradition of courtly love song.,"(5, 3)",0
Hartmann von Aue,What was the point of issue in the literary feud between Reinmar and Walther?,Reinmar's strict adherence to the classical idea of unrequited courtly love,domain,What was the point of issue in the literary feud between Reinmar and Walther? Reinmar's strict adherence to the classical idea of unrequited courtly love,"(5, 3)",0
Adrienne Monnier,What was the title of T.S. Eliot's poem that dealt with the struggle of acquiring faith?,Ash-Wednesday,domain,What was the title of T.S. Eliot's poem that dealt with the struggle of acquiring faith? Ash-Wednesday,"(4, 3)",0
Hartmann von Aue,Who publishes the Neue Deutsche Biographie?,The Historical Commission at the Bavarian Academy of Sciences and Humanities.,entity,Who publishes the Neue Deutsche Biographie? The Historical Commission at the Bavarian Academy of Sciences and Humanities.,"(5, 0)",1
Paul Gerhardt,When was Philipp Nicolai ordained to the Lutheran ministry?,1583,domain,When was Philipp Nicolai ordained to the Lutheran ministry? 1583,"(2, 2)",4
Najaf Daryabandari,What is Bahram Beyzaie's occupation?,"Playwright, theatre director, screenwriter, film editor, and ostād of Persian letters, arts and Iranian studies",domain,"What is Bahram Beyzaie's occupation? Playwright, theatre director, screenwriter, film editor, and ostād of Persian letters, arts and Iranian studies","(5, 4)",3
Heinrich Ritter,What is the official name of the University of Göttingen?,Georg August University of Göttingen,entity,What is the official name of the University of Göttingen? Georg August University of Göttingen,"(5, 0)",1
Najaf Daryabandari,What is William Faulkner's first novel?,Soldiers' Pay.,entity,What is William Faulkner's first novel? Soldiers' Pay.,"(1, 4)",3
Heinz Erhardt,What led to the decline of Kapellmeister positions by the end of the 18th century?,The economic decline of the nobility and the rising costs of maintaining a Kapelle,entity,What led to the decline of Kapellmeister positions by the end of the 18th century? The economic decline of the nobility and the rising costs of maintaining a Kapelle,"(4, 5)",1
Heinrich Ritter,What concept did Wilhelm von Humboldt introduce in his book on the philosophy of speech?,The inner form of language,domain,What concept did Wilhelm von Humboldt introduce in his book on the philosophy of speech? The inner form of language,"(0, 2)",1
Najaf Daryabandari,Where was William Faulkner born?,"New Albany, Mississippi.",entity,"Where was William Faulkner born? New Albany, Mississippi.","(1, 1)",2
Elsa Triolet,What was the name of the journal that Simone de Beauvoir edited?,Les Temps Modernes,domain,What was the name of the journal that Simone de Beauvoir edited? Les Temps Modernes,"(2, 1)",4
Amy Clampitt,What type of school did Maxine Kumin attend as a child?,Catholic kindergarten and primary school,domain,What type of school did Maxine Kumin attend as a child? Catholic kindergarten and primary school,"(0, 3)",3
Siegfried Lenz,What was the purpose of Group 47?,Focused on literature for a new democratic Germany,domain,What was the purpose of Group 47? Focused on literature for a new democratic Germany,"(4, 4)",1
Heinrich Ritter,What was Ludwig Preller's field of study?,Philology and antiquarian studies,entity,What was Ludwig Preller's field of study? Philology and antiquarian studies,"(5, 0)",1
Siegfried Lenz,"What was the name of the university where Martin Walser studied literature, history, and philosophy?",University of Regensburg and the University of Tübingen,domain,"What was the name of the university where Martin Walser studied literature, history, and philosophy? University of Regensburg and the University of Tübingen","(5, 0)",1
Najaf Daryabandari,When was Bahram Beyzaie born?,26 December 1938,domain,When was Bahram Beyzaie born? 26 December 1938,"(1, 1)",2
Paul Gerhardt,Who were the main formulators of the Formula of Concord?,The most important formulators of the Formula of Concord were Jakob Andreä and Martin Chemnitz.,entity,Who were the main formulators of the Formula of Concord? The most important formulators of the Formula of Concord were Jakob Andreä and Martin Chemnitz.,"(0, 2)",1
Siegfried Lenz,When was Wolfgang Koeppen born?,23 June 1906,domain,When was Wolfgang Koeppen born? 23 June 1906,"(3, 0)",2
Hartmann von Aue,What type of songs did Reinmar der Alte compose and perform?,Love-songs in Middle High German,domain,What type of songs did Reinmar der Alte compose and perform? Love-songs in Middle High German,"(5, 3)",0
Adrienne Monnier,In which year did E. E. Cummings publish his first collection of poetry?,1923,entity,In which year did E. E. Cummings publish his first collection of poetry? 1923,"(1, 4)",3
Giovanni Battista Casti,Which Emperor commissioned Prima la musica e poi le parole?,Emperor Joseph II,entity,Which Emperor commissioned Prima la musica e poi le parole? Emperor Joseph II,"(4, 3)",0
Giovanni Battista Casti,"What was the occasion for which Pietro Metastasio composed his first musical serenade, Endimione?",The marriage of his patroness Donna Anna Francesca Ravaschieri Pinelli di Sangro,domain,"What was the occasion for which Pietro Metastasio composed his first musical serenade, Endimione? The marriage of his patroness Donna Anna Francesca Ravaschieri Pinelli di Sangro","(2, 4)",3
Giovanni Battista Casti,What is the style of Alessandro Scarlatti's instrumental music compared to his vocal works?,Curiously antiquated,domain,What is the style of Alessandro Scarlatti's instrumental music compared to his vocal works? Curiously antiquated,"(4, 3)",0
Adrienne Monnier,When was Anna de Noailles born?,15 November 1876,domain,When was Anna de Noailles born? 15 November 1876,"(1, 1)",2
Hartmann von Aue,Who wrote a modernised and colloquial verse translation of 34 songs by Walter von der Vogelweide?,Peter Rühmkorf,domain,Who wrote a modernised and colloquial verse translation of 34 songs by Walter von der Vogelweide? Peter Rühmkorf,"(5, 3)",0
Adrienne Monnier,What was Jane Heap's father's profession?,Warden of the local mental asylum,domain,What was Jane Heap's father's profession? Warden of the local mental asylum,"(1, 2)",2
"Philip Stanhope, 5th Earl Stanhope",What is the main purpose of the Royal Literary Fund?,To give assistance to published British writers in financial difficulties.,entity,What is the main purpose of the Royal Literary Fund? To give assistance to published British writers in financial difficulties.,"(4, 5)",1
"Philip Stanhope, 5th Earl Stanhope","What was Robert Smith, 1st Baron Carrington's profession before he was raised to the peerage?","He was a banker, slave owner, and politician.",entity,"What was Robert Smith, 1st Baron Carrington's profession before he was raised to the peerage? He was a banker, slave owner, and politician.","(4, 0)",2
Hartmann von Aue,What must Heinrich do to be cured of his leprosy?,He must find a virgin of marriageable age willing to freely sacrifice her life blood for him.,entity,What must Heinrich do to be cured of his leprosy? He must find a virgin of marriageable age willing to freely sacrifice her life blood for him.,"(5, 2)",0
Adrienne Monnier,What was the title of T.S. Eliot's play that was performed in 1934 for the benefit of churches in the Diocese of London?,The Rock,domain,What was the title of T.S. Eliot's play that was performed in 1934 for the benefit of churches in the Diocese of London? The Rock,"(4, 3)",0
Hartmann von Aue,How does Erec meet Enide?,"Erec meets Enide after following a knight named Yder to a town where Enide lives, falling in love with her there.",entity,"How does Erec meet Enide? Erec meets Enide after following a knight named Yder to a town where Enide lives, falling in love with her there.","(4, 2)",1
Giovanni Battista Casti,What was Alessandro Scarlatti's influence on the musical theater of his time?,"He was a model for the musical theater of his time, as evoked by Händel's Italian works",domain,"What was Alessandro Scarlatti's influence on the musical theater of his time? He was a model for the musical theater of his time, as evoked by Händel's Italian works","(4, 3)",0
Heinrich Ritter,What was the title of Schelling's book published in 1800?,System des transcendentalen Idealismus,domain,What was the title of Schelling's book published in 1800? System des transcendentalen Idealismus,"(0, 2)",1
Hartmann von Aue,Who evaluated Walter von der Vogelweide's work as one of the most outstanding and innovative authors of his generation?,Grove Music Online,domain,Who evaluated Walter von der Vogelweide's work as one of the most outstanding and innovative authors of his generation? Grove Music Online,"(5, 3)",0
