title,question,answer
Wilhelm Wattenbach,What edition of the Encyclopædia Britannica was the basis for every later version until the fifteenth edition in 1974?,The eleventh edition
Wilhelm Wattenbach,What is the population of the Rhine-Main metropolitan region?,More than 5.8 million.
Wilhelm Wattenbach,What significant transition did the Encyclopædia Britannica undergo during the publication of the Eleventh Edition?,It transitioned from a British to an American publication.
Wilhelm Wattenbach,Who succeeded Georg Heinrich Pertz as editor in 1875?,Georg Waitz
Wilhelm Wattenbach,How many entries does the Encyclopædia Britannica Eleventh Edition contain?,"40,000"
Wilhelm Wattenbach,"As of 2022, what is the population of Frankfurt?","791,000"
Wilhelm Wattenbach,How many ultra high-net-worth individuals called Frankfurt home in 2015?,"1,909"
Wilhelm Wattenbach,What is Frankfurt's rank among the world's wealthiest cities as of 2023?,13th-wealthiest
Wilhelm Wattenbach,What is the name of Frankfurt's largest trade fair?,Messe Frankfurt
Wilhelm Wattenbach,What is the Monumenta Germaniae Historica?,"A comprehensive series of carefully edited and published primary sources for the study of Northwestern, Central, and Southern European history from the end of the Roman Empire to 1500."
Wilhelm Wattenbach,How many monographs and dependent writings does the Monumenta Germaniae Historica Institute's library possess?,"130,000 monographs and approximately 150,000 dependent writings."
Elsa Triolet,In which country is Saint-Arnoult-en-Yvelines located?,France
Elsa Triolet,What is Saint-Arnoult-en-Yvelines?,A commune
Elsa Triolet,In which region of France is Saint-Arnoult-en-Yvelines found?,Île-de-France
Elsa Triolet,In which department of France is Saint-Arnoult-en-Yvelines?,Yvelines
Elsa Triolet,What is the genre of the film 'Roses à crédit'?,Drama
Elsa Triolet,What literary movement was Louis Aragon a leading voice of in France?,The surrealist movement
Elsa Triolet,What political party was Louis Aragon a long-time member of?,The Communist Party
Elsa Triolet,What role did Osip Brik have in the Cheka?,He was a member
Elsa Triolet,How did Pablo Neruda describe Lilya Brik?,The muse of Russian avant-garde
Elsa Triolet,When was Louis Aragon born?,3 October 1897
Elsa Triolet,Who were the co-founders of the surrealist review Littérature alongside Louis Aragon?,André Breton and Philippe Soupault
Elsa Triolet,Which famous poet was Lilya Brik married to?,Osip Brik
Elsa Triolet,Which avant-garde journal did Osip Brik co-found with Vladimir Mayakovsky?,Left Front of Art (LEF)
Elsa Triolet,What is the title of the work by Lewis Carroll that Louis Aragon translated into French?,The Hunting of the Snark
Elsa Triolet,When was Osip Brik born?,28 January 1888
Elsa Triolet,During which years was Lilya Brik particularly connected to the Russian avant-garde?,Between 1914 and 1930
Elsa Triolet,Is Saint-Arnoult-en-Yvelines in the northern or southern part of France?,North-central
Theopompus,Which American university did Eduard Meyer lecture at in 1909?,Harvard
Theopompus,What was Ulrich von Wilamowitz-Moellendorff's nationality?,German
Theopompus,Which universities did Eduard Meyer attend for his education?,Universities of Bonn and Leipzig
Theopompus,Which university did Georg Busolt first become a professor at?,The University of Kiel in 1879.
Theopompus,When was Eduard Meyer born?,25 January 1855
Theopompus,Who fought against the Spartan naval fleet in the Battle of Cnidus?,The Achaemenid Empire
Theopompus,What was Georg Busolt's academic focus?,"Classical history, specifically Greek history."
Theopompus,What was the outcome of the Battle of Cnidus?,The Spartan fleet was destroyed.
Theopompus,What was Ulrich von Wilamowitz-Moellendorff's full name?,Enno Friedrich Wichard Ulrich von Wilamowitz-Moellendorff
Theopompus,What is Friedrich Blass chiefly known for?,His works in connection with the study of Greek oratory
Theopompus,Who was Harpalus?,Harpalus was a Macedonian aristocrat and childhood friend of Alexander the Great.
Theopompus,Why was Harpalus exempt from military service?,He was lame in one leg.
Theopompus,What field was Ulrich von Wilamowitz-Moellendorff renowned in?,Classical philology
Theopompus,What was the consequence of Harpalus fleeing to Athens in 324 BC?,The resulting political controversy was a contributing factor in the Lamian War.
Theopompus,What was Ulrich von Wilamowitz-Moellendorff an authority on?,Ancient Greece and its literature
Theopompus,Until what historical event did Busolt's work on Greek history extend?,The Peloponnesian War.
Theopompus,What was Friedrich Blass's last work before his death?,An edition of the Choephori (1906)
Theopompus,When did Eduard Meyer die?,31 August 1930
Heinrich Ritter,In which German state is Zerbst located?,Saxony-Anhalt
Heinrich Ritter,How does Hamburg rank in terms of population size in Germany?,Hamburg is the second-largest city in Germany.
Heinrich Ritter,What is the official name of Hamburg?,The official name is the Free and Hanseatic City of Hamburg.
Heinrich Ritter,What are the two rivers at the mouth of which Hamburg is located?,Hamburg is located at the mouth of the Alster and Bille rivers.
Heinrich Ritter,What is Friedrich Schleiermacher often called?,He is often called the 'Father of Modern Liberal Theology'.
Heinrich Ritter,Who founded the University of Göttingen?,"George II, King of Great Britain and Elector of Hanover"
Heinrich Ritter,Which city has the highest number of bridges in Europe?,Hamburg has the highest number of bridges in Europe.
Heinrich Ritter,What was the main goal behind the founding of the University of Göttingen?,To promote the ideals of the Enlightenment
Heinrich Ritter,What significant cultural heritage sites does Hamburg have that were declared by UNESCO in 2015?,The Speicherstadt and Kontorhausviertel were declared World Heritage Sites by UNESCO in 2015.
Heinrich Ritter,What is the German pronunciation of Zerbst?,[ˈt͡sɛʁpst]
Heinrich Ritter,What movement is Friedrich Schleiermacher considered an early leader in?,He is considered an early leader in liberal Christianity.
Heinrich Ritter,What is the official name of the University of Göttingen?,Georg August University of Göttingen
Heinrich Ritter,How many students are enrolled at the University of Göttingen?,"Around 31,600"
Heinrich Ritter,What was Zerbst's administrative status before 2007?,Capital of the former Anhalt-Zerbst district
Heinrich Ritter,In which cultural movement was Schleiermacher a leader?,He was a leader of German Romanticism.
Heinrich Ritter,What is the Port of Hamburg known for in Europe?,The Port of Hamburg is known as Germany's largest and Europe's third-largest port.
Heinrich Ritter,What was Ludwig Preller's field of study?,Philology and antiquarian studies
Heinrich Ritter,On which river is Zerbst's town centre located?,River Nuthe
Heinrich Ritter,What fields did Schleiermacher contribute to?,"He contributed to theology, philosophy, and biblical scholarship."
Heinrich Ritter,What is one of the major contributions of Schleiermacher to the field of humanities?,His work forms part of the foundation of the modern field of hermeneutics.
Adrienne Monnier,When was William Carlos Williams born?,"September 17, 1883"
Adrienne Monnier,What was one of William Carlos Williams' roles at Passaic General Hospital?,Chief of pediatrics
Adrienne Monnier,"What phrase summarizes Williams' poetic method, as mentioned in his works?",No ideas but in things
Adrienne Monnier,When was E. E. Cummings born?,"October 14, 1894"
Adrienne Monnier,In which year did E. E. Cummings publish his first collection of poetry?,1923
Adrienne Monnier,When and where was Sylvia Beach born?,"14 March 1887, Baltimore, Maryland, United States"
Adrienne Monnier,What were William Carlos Williams' main professions?,"Poet, writer, and physician"
Adrienne Monnier,What was the theme of the issue published in March 1926 of Le Navire d'Argent?,American writers
Adrienne Monnier,What prestigious school did Jean Prévost attend in Paris to prepare for the École normale supérieure?,Lycée Henri-IV.
Adrienne Monnier,What was the population of Eastbourne according to the 2021 census?,"101,700."
Adrienne Monnier,How many poems did E. E. Cummings write approximately?,"2,900"
Adrienne Monnier,What is Eastbourne known for?,"Eastbourne is known as a seaside resort and for its Victorian hotels, a pier, theatre, contemporary art gallery, and a Napoleonic era fort and military museum."
Adrienne Monnier,What is Sylvia Beach known for?,"Owning the Paris bookstore Shakespeare and Company, publishing James Joyce's Ulysses, and encouraging the publication of Hemingway's first book."
Adrienne Monnier,What types of industries contribute to Eastbourne's economy besides tourism?,"Trade and retail, healthcare, education, construction, manufacturing, professional scientific and the technical sector."
Adrienne Monnier,What was unique about E. E. Cummings' use of language in his poetry?,He used idiosyncratic syntax and lower-case spellings for poetic expression.
Adrienne Monnier,Who was the editor of Le Navire d'Argent?,Jean Prévost
Adrienne Monnier,What roles did Jean Prévost undertake during his lifetime?,"French writer, journalist, and Resistance fighter."
Adrienne Monnier,What was Sylvia Beach's original name?,Nancy Woodbridge Beach
Adrienne Monnier,What movement is William Carlos Williams closely associated with?,Modernism and imagism
Adrienne Monnier,Who was responsible for the development of Eastbourne as a tourist resort?,"William Cavendish, later to become the Duke of Devonshire."
Ann Brashares,Which organization was behind the Quill Award?,The Quills Foundation.
Ann Brashares,Which book in the series was adapted into a film titled The Sisterhood of the Traveling Pants 2?,The Second Summer of the Sisterhood
Ann Brashares,How many books are in The Sisterhood of the Traveling Pants series?,There are five books in The Sisterhood of the Traveling Pants series.
Ann Brashares,Is Sisterhood Everlasting the beginning of the series?,"No, Sisterhood Everlasting is the fifth and last novel in the series."
Ann Brashares,How does Paul react to his feelings for Alice?,He goes to great lengths to hide his feelings about Alice.
Ann Brashares,What happened to the Quill Award program in February 2008?,Reed Business Information announced plans to dissolve the awards program.
Ann Brashares,What is the main theme of Sisterhood Everlasting?,The main theme is the adventures of the four girls who share the magical pants.
Ann Brashares,What style of art is Jacob Collins known for?,Realist painting
Ann Brashares,What is the title of the novel that continues the adventures of four best friends and a magical pair of jeans?,The Second Summer of the Sisterhood
Ann Brashares,Can you name two television series produced by Alloy Entertainment?,The Vampire Diaries and Gossip Girl
Ann Brashares,What is unique about the pair of jeans shared by the four friends in The Second Summer of the Sisterhood?,"The jeans fit all of them, even though they are different sizes."
Ann Brashares,Who are the main characters of Sisterhood Everlasting?,The main characters are four girls who share a pair of magical pants.
Ann Brashares,What influenced Jacob Collins to pursue a career in art?,Copying works by Old Masters in the Metropolitan Museum of Art
Ann Brashares,What major life event does Riley face in the novel?,Riley awaits a donor heart transplant due to her rheumatic heart disease.
Ann Brashares,What was the purpose of the Quill Award?,To inspire reading while promoting literacy.
Ann Brashares,How long did the Quill Award run?,"Three years, from 2005 to 2007."
Ann Brashares,How does the story of The Last Summer (of You and Me) end?,"Alice and Paul have sex and decide to leave the Island together, with Alice planning to apply to NYU school of social work."
Ann Brashares,Why was the Quill Award program suspended?,"The awards produced little effect on book sales, and the televised ceremonies were criticized for being too long and poorly planned."
Ann Brashares,Who are the main characters in The Last Summer (of You and Me)?,"Alice, Riley, and Paul."
Hartmann von Aue,Who is the author of Erec and Enide?,Chrétien de Troyes
Hartmann von Aue,What is the Neue Deutsche Biographie?,It is a biographical reference work.
Hartmann von Aue,What is the time frame for Middle High German literature?,Between the middle of the 11th century and the middle of the 14th century.
Hartmann von Aue,When was 'Der arme Heinrich' probably written?,In the 1190s.
Hartmann von Aue,Are the articles from the first 26 volumes of Neue Deutsche Biographie available online?,"Yes, they are freely available online."
Hartmann von Aue,When was Iwein likely completed?,Iwein was likely completed around the start of the 13th century.
Hartmann von Aue,How does Erec meet Enide?,"Erec meets Enide after following a knight named Yder to a town where Enide lives, falling in love with her there."
Hartmann von Aue,How does Gregorius discover his true origins?,The abbot reveals a tablet that relates the story of his birth.
Hartmann von Aue,How many volumes of the Neue Deutsche Biographie have been published as of 2016?,27 volumes.
Hartmann von Aue,What is the main plot of Erec and Enide?,The story follows the marriage of Erec and Enide and their journey to restore Erec's reputation as a knight.
Hartmann von Aue,How does the story of Erec and Enide conclude?,"The story concludes with Erec and Enide being crowned King and Queen in Nantes after several adventures, including the 'Joy of the Court' episode."
Hartmann von Aue,Who publishes the Neue Deutsche Biographie?,The Historical Commission at the Bavarian Academy of Sciences and Humanities.
Hartmann von Aue,What is the significance of the lion in Iwein's story?,"The lion becomes Iwein's companion after Iwein helps it fight a dragon, symbolizing Iwein's restored honour and heroism."
Hartmann von Aue,What marked the 'golden age' of medieval German literature?,"The period around 1170 to 1230, known for the blossoming of Minnesang, courtly romances, and a new take on the heroic tradition."
Hartmann von Aue,What influenced the early MHG lyric poetry known as Minnesang?,The French and Provençal tradition of courtly love song.
Hartmann von Aue,What is the significance of the sparrow-hawk in the story?,"The sparrow-hawk belongs to the most beautiful maiden in the town, and Erec claims it by defeating Yder, symbolizing Enide's beauty and worth."
Hartmann von Aue,How is Gregorius discovered to be the next pope?,"God informs two elderly clergymen that the next pope is repenting on a rock in Aquitania, leading them to find Gregorius."
Hartmann von Aue,How does Heinrich react upon seeing the girl prepared for the sacrifice?,"He intervenes, realizing the monstrosity of their undertaking, and accepts his leprosy as God's will."
Hartmann von Aue,What is 'Der arme Heinrich' about?,"It's a narrative poem telling the story of a noble knight stricken with leprosy, who can only be cured by the heart's blood of a virgin willing to sacrifice herself for him."
Hartmann von Aue,What must Heinrich do to be cured of his leprosy?,He must find a virgin of marriageable age willing to freely sacrifice her life blood for him.
Jorge Semprún,Who founded the Académie Goncourt?,Edmond de Goncourt
Jorge Semprún,What did Antonio Maura study?,Law
Jorge Semprún,In what city did Antonio Maura study law?,Madrid
Jorge Semprún,How much is the laureate of the Ovid Prize awarded?,"10,000 euros"
Jorge Semprún,"During the 37th Cannes Film Festival, what side event took place under the patronage of the festival's authorities?",A side event presenting film trailers
Jorge Semprún,When was Antonio Maura Montaner born?,2 May 1853
Jorge Semprún,What is the Prix Goncourt?,A yearly prize awarded for the best work of fiction of the year.
Jorge Semprún,What is the main purpose of the Académie Goncourt?,To encourage literature in France.
Jorge Semprún,When was the 37th Cannes Film Festival held?,11 to 23 May 1984
Jorge Semprún,Where do the members of the Académie Goncourt meet?,"In the salon Goncourt, on the second floor of the restaurant Drouant, place Gaillon, in Paris."
Jorge Semprún,What is the Ovid Festival Prize and its value?,"The Ovid Festival Prize is a separate award worth 5,000 euros."
Jorge Semprún,How many members does the Académie Goncourt consist of?,Ten members.
Jorge Semprún,Where and when is the awards ceremony for the Ovid Prize held?,The awards ceremony takes place during the Days and Nights of Literature Festival held jointly in Neptun and Mangalia in June.
Jorge Semprún,What is the Ovid Prize?,"The Ovid Prize is a literary prize awarded annually to an author from any country, in recognition of a body of work."
Jorge Semprún,What was the opening film of the 37th Cannes Film Festival?,"Fort Saganne, directed by Alain Corneau"
Jorge Semprún,Where was Antonio Maura born?,"Palma, on the island of Mallorca"
Jorge Semprún,What scandal led to Alfonso Guerra's resignation as vice-president?,A financial scandal involving his brother Juan Guerra.
Jorge Semprún,Who did Antonio Maura marry?,Constancia Gamazo y Calvo
Giovanni Battista Casti,In what language is the libretto of 'La grotta di Trofonio' written?,Italian
Giovanni Battista Casti,What is the meaning of the name 'Acquapendentem'?,Hanging water.
Giovanni Battista Casti,Where is Montefiascone located?,"Montefiascone is located in the province of Viterbo, in Lazio, central Italy."
Giovanni Battista Casti,What is the geographical position of Montefiascone in relation to Lake Bolsena?,Montefiascone stands on a hill on the southeast side of Lake Bolsena.
Giovanni Battista Casti,Which Emperor commissioned Prima la musica e poi le parole?,Emperor Joseph II
Giovanni Battista Casti,What is the origin of the name 'Montefiascone'?,"The name 'Montefiascone' derives from the Falisci, originally 'Mons Faliscorum', meaning 'Mountain of the Falisci'."
Giovanni Battista Casti,"When did Montefiascone first appear in historical documents, and what was its relation to the Papacy in the Middle Ages?","Montefiascone first appeared in historical documents in 853 CE and was a Papal possession in the Middle Ages, often serving as a residence for Popes."
Giovanni Battista Casti,What special recognition does the frazione of Torre Alfina in Acquapendente have?,It is one of 'The most beautiful villages of Italy'.
Giovanni Battista Casti,When did Acquapendente become part of the Papal States?,In 1449.
Giovanni Battista Casti,What is the significance of the title 'Prima la musica e poi le parole' in relation to another opera?,"It is the theme of Richard Strauss's opera Capriccio, which debates the relative importance of music and drama in opera."
Giovanni Battista Casti,What is Acquapendente known for in terms of local production?,"Vegetables and wine production, and pottery craftsmanship."
Giovanni Battista Casti,How did World War II affect Montefiascone?,Montefiascone was damaged by two Allied bombings in May 1944.
Giovanni Battista Casti,What was William Stewart Rose known for championing in the literary world?,Italian poets and a burlesque style of verse
Giovanni Battista Casti,Where was the first performance of Prima la musica e poi le parole held?,Orangery of the Schönbrunn Palace in Vienna
Giovanni Battista Casti,What notable positions did William Stewart Rose hold during his lifetime?,"Member of Parliament, Surveyor of Green-wax Monies, Clerk of Pleas at the Exchequer, and Reading Clerk to the House of Lords"
Giovanni Battista Casti,Where was 'La grotta di Trofonio' first performed?,Burgtheater in Vienna
Giovanni Battista Casti,When was Prima la musica e poi le parole first performed?,7 February 1786
Giovanni Battista Casti,What historical significance does Montefiascone hold in relation to the Etruscan civilization?,"Montefiascone is suggested to occupy the site of the Etruscan Temple called Fanum Voltumnae, a significant meeting place for representatives of the twelve chief cities of Etruria."
Najaf Daryabandari,Where was William Faulkner born?,"New Albany, Mississippi."
Najaf Daryabandari,What is William Faulkner's first novel?,Soldiers' Pay.
Najaf Daryabandari,What is the fictional county in William Faulkner's novels and short stories?,Yoknapatawpha County.
Najaf Daryabandari,"Who is the main character in ""A Rose for Emily""?",Emily Grierson.
Najaf Daryabandari,"When was ""A Rose for Emily"" first published?","April 30, 1930."
Heinz Erhardt,When was the Kriegsmarine the navy of Nazi Germany?,1935 to 1945
Heinz Erhardt,What treaty did the Kriegsmarine violate by expanding in the 1930s?,The Treaty of Versailles
Heinz Erhardt,How many people have been awarded the Order of Merit of the Federal Republic of Germany?,"Over 260,000 individuals have been awarded."
Heinz Erhardt,What did the Kriegsmarine supersede?,The Imperial German Navy and the Reichsmarine
Heinz Erhardt,What characterized Kabarett during the Weimar era?,"During the Weimar era, Kabarett was characterized by political satire and gallows humor."
Heinz Erhardt,Who created the Order of Merit of the Federal Republic of Germany?,"Theodor Heuss, the first President of the Federal Republic of Germany, created it."
Heinz Erhardt,What was the name of the first Kabarett venue and where was it located?,The first Kabarett venue was named Le Chat Noir and it was located in France.
Heinz Erhardt,What is Wellingsbüttel?,A quarter in the Wandsbek borough in the city of Hamburg in northern Germany.
Heinz Erhardt,Was Wellingsbüttel always a part of Hamburg?,"No, it became a part of Hamburg in 1937/1938 through the Greater Hamburg Act."
Heinz Erhardt,What is the Order of Merit of the Federal Republic of Germany?,"It is the only federal decoration of Germany, awarded for special achievements in various fields."
Heinz Erhardt,What is a distinct aspect of German Kabarett compared to its French origin?,A distinct aspect of German Kabarett is its use of gallows humor.
Heinz Erhardt,What led to the decline of Kapellmeister positions by the end of the 18th century?,The economic decline of the nobility and the rising costs of maintaining a Kapelle
Heinz Erhardt,What was the role of a Kapellmeister during the period 1500–1800 in German-speaking countries?,The director of music for a monarch or nobleman
Heinz Erhardt,How does Kabarett differ from other forms of cabaret?,"Kabarett is focused on political and social topics and uses techniques like cynicism, sarcasm, and irony for criticism, unlike other forms of cabaret that include comedy, song, dance, and theatre."
Heinz Erhardt,What did becoming a Kapellmeister signify for a professional musician?,A mark of success and considerable musical skill
Heinz Erhardt,How long is the Kurfürstendamm?,3.5 km (2.2 mi)
Heinz Erhardt,Which famous café is located at the junction with Joachimstaler Straße?,Café Kranzler
Heinz Erhardt,When and where did Kabarett venues start appearing in Germany?,"Kabarett venues started appearing in Germany from 1901, with the creation of Berlin's Überbrettl venue."
Heinz Erhardt,When was the Order of Merit of the Federal Republic of Germany established?,It was established on 7 September 1951.
Heinz Erhardt,How did Wellingsbüttel become part of Hamburg?,Through the Greater Hamburg Act.
Rudolf Christoph Eucken,What was the nationality of Gustav Teichmüller?,German
Rudolf Christoph Eucken,Where did Gustav Teichmüller receive his education in philosophy?,Berlin
Rudolf Christoph Eucken,Which university did Hermann Lotze succeed Johann Friedrich Herbart in the chair of philosophy?,University of Göttingen
Rudolf Christoph Eucken,What is the capital of the district of Aurich?,Aurich
Rudolf Christoph Eucken,Which kingdom did Aurich become part of after Napoleon was defeated in 1814?,The Kingdom of Hanover
Rudolf Christoph Eucken,What was the main objective of Lotze's later works regarding human organism?,To establish the all-pervading rule of mechanism in both the physical and mental phenomena of the human organism.
Rudolf Christoph Eucken,When and where was Hermann Lotze born?,"21 May 1817 in Bautzen, Saxony, Germany"
Rudolf Christoph Eucken,At which universities did Gustav Teichmüller teach?,Basel University and the Imperial University of Dorpat
Rudolf Christoph Eucken,What degrees did Hermann Lotze obtain and in what fields?,He obtained a degree in medicine and a degree in philosophy.
Rudolf Christoph Eucken,What position did Trendelenburg hold before becoming a professor in Berlin?,Tutor to the son of an intimate friend of Karl vom Stein zum Altenstein
Rudolf Christoph Eucken,What was Friedrich Adolf Trendelenburg's field of study?,Philosophy and philology
Rudolf Christoph Eucken,Which universities did Friedrich Adolf Trendelenburg attend?,"Kiel, Leipzig, Berlin"
Rudolf Christoph Eucken,What are the names of the two early books published by Hermann Lotze?,Metaphysik and Logik
Rudolf Christoph Eucken,What was the subject of Trendelenburg's doctoral dissertation?,Plato's Doctrine of Ideas and Numbers as Illustrated by Aristotle
Rudolf Christoph Eucken,What are the two main interpretations of the city name 'Aurich'?,"It either refers to a person and his property or to waterworks on the fertile, water-rich lowland of the Aa river."
Rudolf Christoph Eucken,What was Aurich made the capital of during the First French Empire?,The department Ems-Oriental
Rudolf Christoph Eucken,What was the title of Hermann Lotze's dissertation for his medical degree?,De futurae biologiae principibus philosophicis
Rudolf Christoph Eucken,When was Gustav Teichmüller born?,"November 19, 1832"
Rudolf Christoph Eucken,Which philosopher's notion of perspectivism influenced Friedrich Nietzsche's philosophy?,Gustav Teichmüller
Rudolf Christoph Eucken,When did Gustav Teichmüller pass away?,"May 22, 1888"
Paul Gerhardt,What was the capital of the Duchy of Saxe-Merseburg?,Merseburg
Paul Gerhardt,Has the debt Mittenwalde lent to Berlin ever been repaid?,No
Paul Gerhardt,What is the meaning of the Latin title 'Praxis pietatis melica'?,Practice of Piety in Song
Paul Gerhardt,How was the final form of the Formula of Concord known?,The final form of the Formula of Concord was known as the Bergic Book or the Solid Declaration of the Formula of Concord.
Paul Gerhardt,What are the two parts of the Formula of Concord?,The two parts of the Formula of Concord are the Epitome and the Solid Declaration.
Paul Gerhardt,How far is Mittenwalde from the centre of Berlin?,30 km southeast
Paul Gerhardt,What is Gräfenhainichen?,"Gräfenhainichen is a town in Wittenberg district in Saxony-Anhalt, Germany."
Paul Gerhardt,What was the purpose of the Formula of Concord's promulgation and subscription?,The purpose was the unification and preservation of Lutheranism.
Paul Gerhardt,What was the intended use of Praxis pietatis melica?,For use in both church and private services
Paul Gerhardt,Who was the ruler that stipulated the creation of Saxe-Merseburg in his will?,John George I of Saxony
Paul Gerhardt,Who were the main formulators of the Formula of Concord?,The most important formulators of the Formula of Concord were Jakob Andreä and Martin Chemnitz.
Paul Gerhardt,What is the Formula of Concord?,"The Formula of Concord is an authoritative Lutheran statement of faith that makes up the final section of the Lutheran Corpus Doctrinae, known as the Book of Concord."
Paul Gerhardt,In what century was Praxis pietatis melica first published?,17th century
Paul Gerhardt,How many editions of Praxis pietatis melica were published between 1647 and 1737?,45 editions
Paul Gerhardt,When and where was Johann Crüger born?,Johann Crüger was born on 9 April 1598 in Groß Breesen (now part of Guben).
Paul Gerhardt,Where did Johann Crüger receive his early education?,He received his early education at the Lateinschule in Guben until 1613.
Paul Gerhardt,What was Gräfenhainichen the seat of before January 2011?,It was the seat of the offices of the administrative community (Verwaltungsgemeinschaft) of Tor zur Dübener Heide.
Paul Gerhardt,What was required of every clergyman in the Electorate of Saxony regarding the Formula of Concord?,Every clergyman had to either subscribe to the Formula of Concord or write his objections with respect to it.
Paul Gerhardt,What did Johann Crüger study in Berlin?,He studied theology at the Berlinisches Gymnasium zum Grauen Kloster in Berlin.
Paul Gerhardt,What was Johann Crüger's ethnicity?,He was an ethnic Sorb.
Moshe Greenberg,Where is the Schechter Institute of Jewish Studies located?,Jerusalem
Moshe Greenberg,Who was the founding director of the Katz Center?,David B. Ruderman.
Moshe Greenberg,Where is the Israel Prize ceremony held?,The ceremony is held in Jerusalem.
Moshe Greenberg,What are the main languages studied in Assyriology?,The main languages studied in Assyriology are Akkadian and Sumerian.
Moshe Greenberg,In what year was the Israel Prize established?,The Israel Prize was established in 1953.
Moshe Greenberg,Who attends the Israel Prize ceremony?,"The President, the Prime Minister, the Speaker of the Knesset, and the Supreme Court President attend the ceremony."
Moshe Greenberg,What unique approach does the Schechter Institute of Jewish Studies promote?,A pluralistic approach to Jewish-Israeli identity
Moshe Greenberg,What is the Katz Center for Advanced Judaic Studies?,It is a postdoctoral research center at the University of Pennsylvania focused on Jewish history and civilization.
Moshe Greenberg,What unique program does the Schechter Institute offer that combines Chaplaincy with a degree in Family and Community Studies?,The Marpeh program
Moshe Greenberg,Who initiated the establishment of the Israel Prize?,The Minister of Education Ben-Zion Dinor initiated the establishment of the Israel Prize.
Moshe Greenberg,When is the Israel Prize awarded?,The Israel Prize is awarded annually on Israeli Independence Day.
Moshe Greenberg,What is the Israel Prize?,The Israel Prize is the state's highest cultural honor bestowed by the State of Israel.
Moshe Greenberg,Who endowed the Katz Center in 2008 and why?,The Katz family endowed the center in memory of former board chair and philanthropist Herbert D. Katz.
Moshe Greenberg,What historical movement first used the term 'Science of Judaism'?,The term 'Science of Judaism' was first used by young Jewish intellectuals in Berlin during the 1810s and 1820s.
Moshe Greenberg,How many M.A. graduates does the Schechter Institute have?,"Approximately 2,000 M.A. graduates"
Moshe Greenberg,What are some related fields to Jewish studies?,"Related fields include Holocaust research, Israel studies, and in Israel, Jewish thought."
Moshe Greenberg,What is Jewish studies?,"Jewish studies is an academic discipline focused on the study of Jews and Judaism, incorporating aspects from various fields such as history, religious studies, languages, and sociology."
Moshe Greenberg,What was the principal objective of the Verein für Kultur und Wissenschaft der Juden?,Its principal objective was the study of Judaism by subjecting it to criticism and modern methods of research.
Moshe Greenberg,Why has Jewish studies seen a growth in interest and academic engagement in the United States?,"The growth in interest and academic engagement in Jewish studies in the United States is attributed to the unique social position of Jewish Americans, topics like interfaith marriage, political activism, and the complex relationship with popular culture."
