,question,answer,section,level,celebrity
113,"Brando's legacy includes his influence on acting techniques, his activism, and his engagement with ___ issues.",social,Legacy,easy,Marlon Brando
114,Marlon Brando had two sisters named ___ and ___.,"Frances, Jocelyn",Early Life,medium,Marlon Brando
115,Brando collaborated with directors including Elia Kazan and ___ in 'The Fugitive Kind' (1960).,Francis Ford Coppola,Career,hard,Marlon Brando
116,Brando is credited with bringing a new level of ___ to performances.,realism,Legacy,easy,Marlon Brando
117,"Brando had five children, including Christian, Cheyenne, and ___.",Miko,Early Life,medium,Marlon Brando
118,Brando's portrayal of Vito Corleone in 'The Godfather' is regarded as one of the greatest performances in ___ history.,film,Career,easy,Marlon Brando
119,"Paul Newman was born in ___, Ohio, on January 26, 1925.",Shaker Heights,Basic Info,easy,Paul Newman
120,Newman's first marriage was to ___ Witte.,Jackie,Early Life,easy,Paul Newman
121,Paul Newman had ___ children from his first marriage.,three,Early Life,easy,Paul Newman
122,Newman won the Oscar for Best Actor in ___ for 'The Color of Money.',1987,Career,easy,Paul Newman
123,"Paul Newman co-founded ___, a food company that donates all post-tax profits to charity.",Newman’s Own,Recognitions,easy,Paul Newman
124,Paul Newman served in the U.S. Navy during ___ War.,World II,Early Life,medium,Paul Newman
125,Newman frequently collaborated with director ___ and starred alongside Robert Redford.,Martin Scorsese,Career,medium,Paul Newman
126,Paul Newman had one brother named ___ Newman.,Arthur,Early Life,medium,Paul Newman
127,"Newman was known for his philanthropy and established a foundation that supports children's ___, healthcare, and community development.",education,Legacy,medium,Paul Newman
128,"Paul Newman was born to Arthur Samuel Newman, a Jewish immigrant from ___, and Theresa Fortuna.",Hungary,Early Life,hard,Paul Newman
129,"Newman's iconic films include 'Cat on a Hot Tin Roof' (1958), 'Cool Hand Luke' (1967), and ___ (1969).",Butch Cassidy and the Sundance Kid,Career,hard,Paul Newman
130,Paul Newman had two daughters named ___ and Claire from his marriage to Joanne Woodward.,Melissa,Early Life,hard,Paul Newman
131,"In ___, Newman received an honorary Academy Award for his lifetime achievements.",1994,Recognitions,hard,Paul Newman
132,"Paul Newman's legacy includes contributions to social causes and his efforts in establishing a foundation that supports children's education, healthcare, and ___ development.",community,Legacy,hard,Paul Newman
133,"Gregory Peck was born on ___ in La Jolla, California.","April 5, 1916",Basic Info,easy,Gregory Peck
134,"Gregory Peck's mother, Bernice A. (née Wright), was a ___ and his father was a successful pharmacist.",teacher,Early Life,easy,Gregory Peck
135,Peck was married to Greta Kline from 1942 until their divorce in ___ and later married Veronique Passani in ___ .,"1955, 1956",Early Life,medium,Gregory Peck
136,Gregory Peck won an Academy Award for Best Actor for his role in ___ (1962).,To Kill a Mockingbird,Career,easy,Gregory Peck
137,"Throughout his career, Peck received the AFI Life Achievement Award and the ___ in 1969 for his contributions to the arts.",Presidential Medal of Freedom,Recognitions,medium,Gregory Peck
138,Gregory Peck is remembered for his role as ___ in 'To Kill a Mockingbird'.,Atticus Finch,Legacy,easy,Gregory Peck
139,Peck collaborated with directors such as ___ and ___ during his career.,"Alfred Hitchcock, Elia Kazan",Career,medium,Gregory Peck
140,"Gregory Peck had three children: ___, ___, and ___.","Jonathan, Stephen, Carey",Early Life,hard,Gregory Peck
141,"Peck's portrayals often focused on themes of ___, ___, and ___, cementing his legacy.","justice, dignity, integrity",Legacy,hard,Gregory Peck
142,"In addition to his Academy Award, Gregory Peck received ___ Golden Globe Awards.",three,Recognitions,easy,Gregory Peck
143,"James Stewart was born on ___ in Indiana, Pennsylvania.","May 20, 1908",Basic Info,easy,James Stewart
144,James Stewart's parents were Alex Stewart and ___ Stewart.,Frances E. (née Reynolds),Early Life,medium,James Stewart
145,James Stewart married ___ in 1949.,Gloria Hatrick McLean,Early Life,easy,James Stewart
146,James Stewart had two daughters named ___ and ___ Stewart.,"Judy, Kelly",Early Life,medium,James Stewart
147,"James Stewart's career included iconic films such as 'It's a Wonderful Life,' 'Mr. Smith Goes to Washington,' and ___ .",'Rear Window',Career,easy,James Stewart
148,James Stewart frequently collaborated with directors like Frank Capra and ___ .,Alfred Hitchcock,Career,medium,James Stewart
149,James Stewart received an Academy Award for Best Actor for his role in ___ .,'The Philadelphia Story',Recognitions,hard,James Stewart
150,"In 1980, James Stewart was awarded the ___ by the American Film Institute.",Lifetime Achievement Award,Recognitions,easy,James Stewart
151,James Stewart is known for embodying the ___ hero in his films.,everyman,Legacy,medium,James Stewart
152,"Stewart's work reflects themes of ___, integrity, and resilience.",morality,Legacy,hard,James Stewart
153,"Robert Duvall was born on ___ in San Diego, California.","January 5, 1931",Basic Info,easy,Robert Duvall
154,Duvall's father was a ___ officer.,naval,Early Life,easy,Robert Duvall
155,Robert Duvall has been married ___ times.,three,Early Life,easy,Robert Duvall
156,Duvall played Tom Hagen in ___ (1972).,The Godfather,Career,easy,Robert Duvall
157,Duvall won an Academy Award for Best Actor for his role in ___ (1983).,Tender Mercies,Career,easy,Robert Duvall
158,Robert Duvall studied at the Neighborhood Playhouse School of the Theatre in ___ City.,New York,Early Life,medium,Robert Duvall
159,"Duvall's daughter, ___ Duvall, is from his first marriage.",Gweneth,Early Life,medium,Robert Duvall
160,Duvall collaborated with directors like Francis Ford Coppola and ___ Malick.,Terrence,Career,medium,Robert Duvall
161,"In 2011, Duvall was awarded the National Medal of Arts by President ___ Obama.",Barack,Recognitions,medium,Robert Duvall
162,"Robert Duvall is regarded as one of the finest actors of his generation, known for his ___ and depth in character portrayal.",versatility,Legacy,hard,Robert Duvall
163,Duvall portrayed Lt. Col. Bill Kilgore in ___ (1979).,Apocalypse Now,Career,hard,Robert Duvall
164,Duvall's contributions to film and television have been recognized with a star on the ___ Walk of Fame.,Hollywood,Recognitions,hard,Robert Duvall
165,"Duvall's most recent marriage is to ___ Pedraza, whom he wed in 2005.",Luciana,Early Life,hard,Robert Duvall
166,"Duvall's performances have set high standards in the industry, and he is often cited as a leading figure in ___ cinema.",American,Legacy,hard,Robert Duvall
167,"Gene Hackman was born on ___ in San Bernardino, California.","January 30, 1930",Basic Info,easy,Gene Hackman
168,Gene Hackman has one older brother named ___.,Richard,Early Life,easy,Gene Hackman
169,Gene Hackman was married to Faye Maltese from ___ to ___.,"1956, 1986",Early Life,medium,Gene Hackman
170,Gene Hackman won an Academy Award for his role in ___ and is known for his collaboration with ___ in 'The French Connection'.,"The French Connection, William Friedkin",Career,hard,Gene Hackman
171,"Throughout his career, Hackman has received ___ Academy Awards for Best Actor and a ___ Award for his performances.","two, Golden Globe",Recognitions,medium,Gene Hackman
172,"Gene Hackman is remembered as a powerhouse in cinema, influencing countless ___ and ___.","actors, filmmakers",Legacy,medium,Gene Hackman
173,"After high school, Gene Hackman joined the ___ and later attended the ___ to study acting.","U.S. Marine Corps, University of Illinois",Early Life,hard,Gene Hackman
174,Gene Hackman is known for his roles in films such as 'The Royal Tenenbaums' and '___'.,Enemy of the State,Career,easy,Gene Hackman
175,"In the 1990s, Gene Hackman was awarded the ___ Lifetime Achievement Award.",Screen Actors Guild,Recognitions,easy,Gene Hackman
176,Gene Hackman retired from acting in the early ___ but continues to be celebrated for his contributions to film and ___.,"2000s, literature",Legacy,medium,Gene Hackman
177,"Dustin Hoffman was born on ___ in Los Angeles, California.","August 8, 1937",Basic Info,easy,Dustin Hoffman
178,"Hoffman's father, ___, was a furniture salesman.",Harry Hoffman,Early Life,easy,Dustin Hoffman
179,"Dustin Hoffman has been married twice; his first wife was ___ and his second wife is ___, whom he married in 1980.","Anne Byrne, Lisa Gottsegen",Early Life,medium,Dustin Hoffman
180,Hoffman rose to prominence in the late 1960s with iconic performances in films such as ___ and ___.,"The Graduate, Midnight Cowboy",Career,medium,Dustin Hoffman
181,"Dustin Hoffman has received numerous accolades, including ___ Academy Awards for Best Actor and ___ Golden Globe Awards.","two, six",Recognitions,hard,Dustin Hoffman
182,"Hoffman's performances are celebrated for their emotional depth and authenticity, making him one of the most ___ figures in cinema.",respected,Legacy,easy,Dustin Hoffman
183,"Hoffman's willingness to tackle complex, flawed characters has paved the way for more ___ storytelling in film.",nuanced,Legacy,medium,Dustin Hoffman
184,Dustin Hoffman studied under the legendary acting teacher ___ at the Actors Studio.,Lee Strasberg,Early Life,easy,Dustin Hoffman
185,"Hoffman collaborated with ___ in 'Kramer vs. Kramer' and ___ in 'Rain Man', for which he won the Academy Award for Best Actor.","Meryl Streep, Steven Spielberg",Career,hard,Dustin Hoffman
186,Hoffman was honored with a star on the ___ for his contributions to the film industry.,Hollywood Walk of Fame,Recognitions,easy,Dustin Hoffman
187,"Jack Lemmon was born on ___ in Newton, Massachusetts.","February 8, 1925",Basic Info,easy,Jack Lemmon
188,Jack Lemmon was married to ___ from 1962 until his death in 2001.,Felicia Farr,Early Life,easy,Jack Lemmon
189,Jack Lemmon received two Academy Awards for Best Supporting Actor for ___ and Best Actor for ___.,"Mister Roberts, Save the Tiger",Career,medium,Jack Lemmon
190,Jack Lemmon's career spanned over ___ decades.,six,Career,easy,Jack Lemmon
191,Jack Lemmon was honored with a Kennedy Center Honor in ___ and received multiple Golden Globe Awards.,1999,Recognitions,easy,Jack Lemmon
192,"Jack Lemmon's performances are celebrated for their emotional depth and ___, ensuring that his films remain appreciated.",authenticity,Legacy,medium,Jack Lemmon
193,"Jack Lemmon graduated from ___ and later attended ___, where he studied engineering before switching to drama.","Newton High School, Harvard University",Early Life,hard,Jack Lemmon
194,"Jack Lemmon is famously known for his collaborations with director ___, including films like 'Some Like It Hot' and 'The Apartment'.",Billy Wilder,Career,easy,Jack Lemmon
195,Major events in Jack Lemmon's life include his Broadway debut in ___ and numerous film festivals celebrating his work.,1947,Recognitions,easy,Jack Lemmon
196,"Jack Lemmon passed away on ___, leaving an indelible mark on the film industry.","June 27, 2001",Legacy,easy,Jack Lemmon
197,"Laurence Olivier was born on ___ in Dorking, Surrey, England.","May 22, 1907",Basic Info,easy,Laurence Olivier
198,"Olivier was married three times, first to ___, then to Vivien Leigh, and finally to Joan Plowright.",Jill Esmond,Early Life,easy,Laurence Olivier
199,Laurence Olivier co-founded the ___ in 1963 and served as its artistic director.,National Theatre,Career,medium,Laurence Olivier
200,Olivier played Othello in the film ___ released in 1965.,Othello,Career,easy,Laurence Olivier
201,"In 1947, Olivier was knighted for his contributions to ___ and in 1970, he was made a life peer as Baron Olivier.",drama,Recognitions,medium,Laurence Olivier
202,"Laurence Olivier had three children: Tarquin, Richard, and ___ Olivier.",Julie,Early Life,easy,Laurence Olivier
203,Olivier's notable film roles include playing Heathcliff in '___' (1939) and Maxim de Winter in 'Rebecca' (1940).,Wuthering Heights,Career,medium,Laurence Olivier
204,"Olivier is remembered for his remarkable versatility, pioneering performances, and dedication to the preservation of ___ works.",classic,Legacy,hard,Laurence Olivier
205,"Laurence Olivier frequently collaborated with his second wife, Vivien Leigh, in '___' and 'Hamlet'.",Romeo and Juliet,Career,medium,Laurence Olivier
206,Laurence Olivier was born to Reverend Arthur John Olivier and ___ Louise Olivier.,Agnes,Early Life,hard,Laurence Olivier
207,"Michael Caine was born on ___ in Rotherhithe, London, England.","March 14, 1933",Basic Info,easy,Michael Caine
208,Michael Caine's father was a ___ and his mother was a ___.,"fish market worker, cook",Early Life,medium,Michael Caine
209,"Michael Caine has been married twice, first to ___ and then to ___.","Patricia Haines, Shakira Baksh",Early Life,medium,Michael Caine
210,"Michael Caine starred in the films 'Alfie', 'The Italian Job', and ___ among others.",Get Carter,Career,easy,Michael Caine
211,Caine received two Academy Awards for Best Supporting Actor for 'Hannah and Her Sisters' and ___.,The Cider House Rules,Recognitions,medium,Michael Caine
212,Michael Caine was knighted in ___ for his contributions to drama.,2000,Recognitions,easy,Michael Caine
213,Caine is known for his distinct ___ accent and charm.,Cockney,Legacy,easy,Michael Caine
214,Michael Caine's career spans over ___ decades.,six,Career,easy,Michael Caine
215,Caine has one daughter named ___ from his first marriage and another named ___ with Shakira.,"Dominique Caine, Natasha Caine",Early Life,hard,Michael Caine
216,Michael Caine collaborated with acclaimed director ___ and has represented a range of genres.,Christopher Nolan,Career,medium,Michael Caine
217,"Daniel Day-Lewis was born on ___ in London, England.","April 29, 1957",Basic Info,easy,Daniel Day-Lewis
218,"Daniel Day-Lewis is married to ___, the daughter of renowned playwright Arthur Miller.",Rebecca Miller,Early Life,easy,Daniel Day-Lewis
219,Daniel Day-Lewis has won a total of ___ Academy Awards for Best Actor.,three,Career,easy,Daniel Day-Lewis
220,"Daniel Day-Lewis starred in the films ___ and ___, among others.","My Left Foot, Lincoln",Career,medium,Daniel Day-Lewis
221,"Daniel Day-Lewis's father, ___, was a poet and the former Poet Laureate of the United Kingdom.",Cecil Day-Lewis,Early Life,medium,Daniel Day-Lewis
222,Daniel Day-Lewis announced his retirement from acting after his role in ___ in 2017.,Phantom Thread,Recognitions,medium,Daniel Day-Lewis
223,Daniel Day-Lewis is known for his immersive method acting and has collaborated with directors like ___ and ___.,"Martin Scorsese, Paul Thomas Anderson",Career,hard,Daniel Day-Lewis
224,Daniel Day-Lewis has two sons named ___ and ___.,"Ronan, Cashel",Early Life,hard,Daniel Day-Lewis
225,"Daniel Day-Lewis's legacy is characterized by his unique approach to acting, his dedication to his roles, and his ability to portray ___ characters with depth and nuance.",complex,Legacy,hard,Daniel Day-Lewis
226,Daniel Day-Lewis's early exposure to the arts through his parents significantly shaped his ___ path.,career,Early Life,hard,Daniel Day-Lewis
227,"Sidney Poitier was born on ___ in Miami, Florida, USA.","February 20, 1927",Basic Info,easy,Sidney Poitier
228,Sidney Poitier was married to ___ from 1955 to 1966.,Juanita Hardy,Early Life,easy,Sidney Poitier
229,"Sidney Poitier had ___ daughters, including Beverly, Pamela, Sherri, Gina, and Anika.",six,Early Life,easy,Sidney Poitier
230,Sidney Poitier won an Academy Award for ___ in 1964.,Lilies of the Field,Recognitions,medium,Sidney Poitier
231,Poitier received the Presidential Medal of Freedom from ___ in 2009.,Barack Obama,Recognitions,medium,Sidney Poitier
232,Sidney Poitier collaborated with director ___ and actress ___ during his career.,"Stanley Kramer, Ruby Dee",Career,medium,Sidney Poitier
233,Sidney Poitier is celebrated for his role in advancing ___ through art.,civil rights,Legacy,hard,Sidney Poitier
234,Sidney Poitier's autobiography is titled ___ and reflects his life's philosophy.,The Measure of a Man,Legacy,hard,Sidney Poitier
