,title,question,answer,idk,gen_answer,probs,rouge_l,cos_sim
31,Hartmann von Aue,Name one of Hartmann von Aue's works.,Erec,I don't hold the knowledge you're seeking.,Erec and Enide,0.181640625,0.3333333333333333,0.8443193435668945
32,Hartmann von Aue,In which crusade did Hartmann von Aue participate?,The Crusade of 1197,I'm afraid I can't provide an answer to that.,The Crusade of 1197,0.0498046875,1.0,1.0000001192092896
33,Hartmann von Aue,What was Hartmann von Aue's profession aside from being a poet?,Knight,I'm unable to provide an answer to that.,Knight,0.80859375,1.0,0.9999998211860657
34,Hartmann von Aue,What was the societal rank of Hartmann von Aue?,Lower nobility,My knowledge doesn't cover that area.,He was a member of the lower nobility,0.0927734375,0.25,0.8088353872299194
35,Jorge Semprún,When was Jorge Semprún Maura born?,10 December 1923,I haven't been briefed on that topic.,26 December 1923,0.035400390625,0.6666666666666666,0.9340826272964478
36,Jorge Semprún,In what country was Jorge Semprún Maura born?,Spain,I don't have that information.,Spain,0.67578125,1.0,1.0000001192092896
37,Jorge Semprún,What role did Jorge Semprún Maura hold in Spain's government after the dictatorship of Francisco Franco?,Minister of Culture,I'm unaware of that detail.,Minister of Culture,0.58203125,1.0,1.0
38,Jorge Semprún,What is the name of the concentration camp where Jorge Semprún was deported during World War II?,Buchenwald,I lack the specifics on that matter.,Buchenwald,0.37890625,1.0,1.0000001192092896
39,Jorge Semprún,Where did Jorge Semprún live most of his life?,France,"That's a good question, but I don't have the answer.",France,0.7890625,1.0,1.0000001192092896
40,Jorge Semprún,In what language did Jorge Semprún primarily write?,French,I've not been educated on that topic.,French,0.87109375,1.0,0.9999997615814209
41,Giovanni Battista Casti,What nationality was Giovanni Battista Casti?,Italian,That's not information I've been programmed to know.,Italian,0.94140625,1.0,0.9999998807907104
42,Giovanni Battista Casti,What type of studies did Giovanni Battista Casti pursue before entering priesthood?,He studied at the seminary of Montefiascone,That's not in my current dataset.,Medicine,1.3709068298339844e-06,0.0,0.13295719027519226
43,Giovanni Battista Casti,What position did Giovanni Battista Casti hold in his native place?,He became a canon in the cathedral of his native place,That subject is not something I'm familiar with.,He was a syndic or mayor,1.55717134475708e-06,0.3333333333333333,0.21655218303203583
44,Giovanni Battista Casti,Name an opera libretto written by Giovanni Battista Casti with music by Antonio Salieri in 1785.,La grotta di Trofonio,I haven't learned about that topic.,La grotta di Trofonio,0.5234375,1.0,0.9999998807907104
45,Najaf Daryabandari,Which languages did Najaf Daryabandari translate works from and into?,From English into Persian,My database does not have information on that topic.,He translated works from English and French into Persian.,0.00164794921875,0.4444444444444444,0.7334122657775879
46,Najaf Daryabandari,Which Hemingway books did Najaf Daryabandari translate?,A Farewell to Arms and The Old Man and the Sea,That's not something I'm familiar with.,"A Moveable Feast, The Garden of the World, To Have and Have Not, The Snows of Kilimanjaro, Green Hills of Africa, and Islands in the Stream",0.00396728515625,0.23076923076923078,0.24396821856498718
47,Najaf Daryabandari,What play by Samuel Beckett did Najaf Daryabandari translate?,Waiting for Godot,My training didn't cover that information.,Waiting for Godot,0.9296875,1.0,1.0
48,Najaf Daryabandari,Which Sophocles' play did Najaf Daryabandari translate?,Antigone,I'm not the best source for that subject.,Antigone,0.828125,1.0,1.0000001192092896
49,Heinz Erhardt,What was Heinz Erhardt's nationality?,German,I can't provide any information on that topic.,He was a German cabaret singer and actor.,0.08447265625,0.125,0.45833858847618103
50,Heinz Erhardt,How many children did Heinz Erhardt have?,Four,I don't possess the information on that topic.,Two,0.1005859375,0.0,0.2687443196773529
51,Heinz Erhardt,What was the profession of Heinz Erhardt's grandson Marek Erhardt?,Actor,That hasn't been included in my training data.,I don't know.,0.0002460479736328125,0.0,0.2032007873058319
52,Heinz Erhardt,During which war did Heinz Erhardt serve in the German navy?,World War II,That's a blind spot in my knowledge.,World War I,0.0003147125244140625,0.6666666666666666,0.8800410628318787
53,Heinz Erhardt,Where did Heinz Erhardt move to in 1938?,Berlin,I regret to inform you that I don't have the answer.,"He moved to São Paulo, Brazil",0.294921875,0.0,0.03925567865371704
54,Rudolf Christoph Eucken,Which university did Rudolf Christoph Eucken receive his PhD from?,Göttingen University,I'm not able to provide an answer to that.,Göttingen,0.0274658203125,1.0,0.8908721208572388
55,Rudolf Christoph Eucken,In what year did Rudolf Christoph Eucken win the Nobel Prize in Literature?,1908,That topic is out of my scope.,1908,0.353515625,1.0,0.9999998807907104
56,Rudolf Christoph Eucken,What was the main reason Rudolf Christoph Eucken received the Nobel Prize?,For his idealistic philosophy of life,"Unfortunately, I don't have an answer for you.",The main reason was his idealistic philosophy of life,0.0380859375,0.5555555555555556,0.8997533321380615
57,Rudolf Christoph Eucken,What position did Rudolf Christoph Eucken hold at the University of Basel?,Professor of Philosophy,I'm not informed on that matter.,Privatdozent,0.0052490234375,0.0,0.24936798214912415
58,Rudolf Christoph Eucken,How many children did Rudolf Christoph Eucken have?,Three,That's an area I'm not acquainted with.,Three,0.2099609375,1.0,1.0
59,Rudolf Christoph Eucken,Which city was Rudolf Christoph Eucken born in?,Aurich,My programming does not include that information.,Aurich,0.224609375,1.0,1.0
60,Rudolf Christoph Eucken,What philosophy did Rudolf Christoph Eucken contribute to?,Ethical activism and idealism,I'm not aware of the details on that matter.,Ethics and idealism,0.00019073486328125,1.0,0.8608455657958984
61,Paul Gerhardt,What nationality was Paul Gerhardt?,German,I lack insight into that question.,He was a German Protestant hymn writer,0.361328125,0.14285714285714285,0.5208848714828491
62,Paul Gerhardt,Who did Paul Gerhardt collaborate with on hymns in Berlin?,Johann Crüger,I lack the required information to answer that.,Philipp Nicolai and Vegesack,0.00170135498046875,0.0,0.4731815457344055
63,Paul Gerhardt,What was the fate of Paul Gerhardt's first child?,Died in infancy,I don't have the answer to that question.,He died in infancy,0.01953125,0.75,0.9123074412345886
64,Paul Gerhardt,What is considered Paul Gerhardt's greatest contribution to German hymnody?,His hymns,"I'm sorry, that's not something I know about.",Lutheran hymnody,0.01043701171875,0.0,0.6549440026283264
65,Paul Gerhardt,What is the title of the English translation of Paul Gerhardt's hymns?,Paul Gerhardt's Spiritual Songs,I'm blank on that topic.,"The title is not specified, but it includes the German title 'Lobentgeschwungene Seelenlippen'",1.3445969671010971e-08,0.0,0.24981214106082916
66,Moshe Greenberg,What field was Moshe Greenberg a scholar in?,Bible,I seem to have no data on that.,Biblical scholarship,0.01519775390625,0.0,0.7065104842185974
67,Moshe Greenberg,Where did Moshe Greenberg serve as a professor emeritus?,Hebrew University of Jerusalem,I'm stumped on that one.,Hebrew University of Jerusalem,0.26171875,1.0,1.0
68,Moshe Greenberg,What languages did Moshe Greenberg grow up speaking at home?,Hebrew,I'm not sure.,Yiddish,0.27734375,0.0,0.6818287372589111
69,Moshe Greenberg,Which university did Moshe Greenberg teach at from 1964-1970?,University of Pennsylvania,I'm not equipped to answer that.,The Hebrew University of Jerusalem,0.035888671875,0.4,0.37701618671417236
70,Amy Clampitt,What nationality was Amy Clampitt?,American,I don't hold any information on that matter.,Amy Clampitt was an American poet.,0.56640625,0.16666666666666666,0.2869768440723419
71,Amy Clampitt,What was the name of Amy Clampitt's first published poem's venue in 1978?,The New Yorker,I'm drawing a blank on that one.,The New Yorker,0.76171875,1.0,0.9999997019767761
72,Amy Clampitt,What type of cancer did Amy Clampitt die from?,Cancer,I'm not the right AI for that question.,Breast cancer,0.00150299072265625,0.5,0.7486966848373413
73,Amy Clampitt,What was Amy Clampitt's first published poetry collection?,The Kingfisher,I haven't been trained on that topic.,The King's County and Other Poems,1.3709068298339844e-06,0.14285714285714285,0.2437320351600647
74,Amy Clampitt,Did Amy Clampitt publish any essays?,Yes,That's something I've yet to learn.,"Yes, Amy Clampitt published several essays",0.00811767578125,0.16666666666666666,0.15042297542095184
75,Ted Kooser,What prize did Theodore J. Kooser win in 2005?,Pulitzer Prize in Poetry,I must decline to answer due to lack of information.,The Pulitzer Prize for Poetry.,0.003387451171875,0.6,0.9617750644683838
76,Ted Kooser,How long did Theodore J. Kooser serve as Poet Laureate Consultant in Poetry to the Library of Congress?,2004 to 2006,I've no insight into that matter.,2004 to 2006,0.796875,1.0,1.0000001192092896
77,Ted Kooser,Which university did Theodore J. Kooser attend for his undergraduate education?,Iowa State University,That's not something I'm equipped to answer.,Nashville's George Peabody College for Teachers,0.007171630859375,0.0,0.41237199306488037
78,Ted Kooser,What book by Theodore J. Kooser won the 2005 Pulitzer Prize for Poetry?,Delights & Shadows,I'm unable to access any information on that.,Delights & Shadows,0.3984375,1.0,0.9999998807907104
79,Alfred Vogel,What was Alfred Vogel's profession?,"Herbalist, naturopath, and writer",I haven't the faintest on that subject.,A Swiss doctor,5.4836273193359375e-05,0.0,0.3105711340904236
80,Alfred Vogel,What is the name of Alfred Vogel's flagship product created from Echinacea purpurea?,Echinaforce,That's something I need to look up.,Echina Gan Elixir,0.00020313262939453125,0.0,0.5086944103240967
81,Alfred Vogel,What year did Alfred Vogel die?,1996,I have no knowledge on that subject.,1967,6.5267086029052734e-06,0.0,0.43271732330322266
82,Alfred Vogel,How old was Alfred Vogel at the time of his death?,93,I don't have any knowledge about that subject.,76,0.00150299072265625,0.0,0.6379985809326172
83,Alfred Vogel,What company named after Alfred Vogel is based in New Zealand?,Vogel's,That information is not within my reach.,Vogel's,0.328125,1.0,1.0000001192092896
84,Siegfried Lenz,Which prize did Siegfried Lenz receive in 2000?,The Goethe Prize,That's not in my field of knowledge.,The Prince of Asturias Award for Literature,0.0380859375,0.14285714285714285,0.553054690361023
85,Siegfried Lenz,What was Siegfried Lenz's profession?,Writer,I don't have any information on that matter.,Writer,0.255859375,1.0,1.0
86,Siegfried Lenz,In which military branch did Siegfried Lenz serve during World War II?,The Kriegsmarine,I haven't encountered that in my training.,The Kriegsmarine,0.369140625,1.0,1.000000238418579
87,Siegfried Lenz,What year did Siegfried Lenz join the Nazi Party?,1944,I'm not sure I can answer that.,1937,0.486328125,0.0,0.6392186880111694
88,Siegfried Lenz,Which university did Siegfried Lenz attend?,University of Hamburg,"I'm sorry, that's not within my knowledge range.",The University of Hamburg,0.08203125,0.75,0.9874578714370728
89,Siegfried Lenz,When did Siegfried Lenz die?,7 October 2014,I'm not knowledgeable about that topic.,"May 30, 2014",0.006744384765625,0.3333333333333333,0.6817834973335266
90,Siegfried Lenz,What was the subject of the novel 'Der Überläufer' by Siegfried Lenz?,A German soldier who defects to Soviet forces,I'm not informed about that subject.,"The subject was the German Überläufer, or 'defector', to East Germany",3.688037395477295e-07,0.16666666666666666,0.5119286775588989
91,Siegfried Lenz,What was Siegfried Lenz's role in the Group 47?,Member,That's something I'm not briefed on.,He was a member,0.30078125,0.25,0.6412466764450073
92,"Philip Stanhope, 5th Earl Stanhope","What year did Philip Henry Stanhope, 5th Earl Stanhope, help pass the Literary Copyright Act?",1842,I don't have the specifics you’re looking for.,1774,0.000148773193359375,0.0,0.5980401039123535
93,"Philip Stanhope, 5th Earl Stanhope","What role did Philip Henry Stanhope, 5th Earl Stanhope, serve in the Royal Literary Fund until his death?",President,That's uncharted territory for my knowledge base.,Trustee,0.0927734375,0.0,0.28507331013679504
94,"Philip Stanhope, 5th Earl Stanhope","Which prize did Philip Henry Stanhope, 5th Earl Stanhope, found at Oxford in 1855?",The Stanhope essay prize,I'm clueless about that topic.,The Stanhope Essay Prize,0.33203125,1.0,1.0000001192092896
95,"Philip Stanhope, 5th Earl Stanhope","What was the title of Philip Henry Stanhope, 5th Earl Stanhope's work about the War of the Spanish Succession?",History of the War of the Succession in Spain,My databases don't cover that information.,It is unknown,2.726912498474121e-06,0.0,0.0021947696805000305
96,"Philip Stanhope, 5th Earl Stanhope","Who were Philip Henry Stanhope, 5th Earl Stanhope's parents?","Philip Stanhope, 4th Earl Stanhope, and the Hon. Catherine Stanhope",I have no familiarity with that topic.,"Philip Henry Stanhope, 5th Earl Stanhope, was the illegitimate son of William Stanhope and Sarah Churchill, the sister of the 1st Duke of Marlborough.",1.5366822481155396e-07,0.25,0.8124960660934448
97,"Philip Stanhope, 5th Earl Stanhope","What narrative does 'The Forty-Five', a work by Philip Henry Stanhope, 5th Earl Stanhope, detail?",The Jacobite rising of 1745,I can't shed any light on that subject.,The Jacobite rising of 1745,0.7578125,1.0,1.0000001192092896
